SALES_ID,PRODUCT
1001,Tortillas
1001,Eggs
1001,Bacon
1001,Cheddar
1001,Avocado
1001,Chocolate
1001,Beer
1001,Beef
1002,Beer
1002,Frozen Pizza
1002,Avocado
1002,Milk
1003,Milk
1003,Cookies
1004,Milk
1004,Cookies
1004,Eggs
1004,Bacon
1004,Beef
1005,Chicken
1005,Tortillas
1005,Milk
1006,Frozen Pizza
1006,Beer
1006,Milk
1006,Cookies
1006,Tortillas
1007,Eggs
1007,Bacon
1007,Milk
1007,Beer
1008,Tortillas
1008,Salsa
1008,Avocado
1008,Beef
1008,Cheddar
1008,Beer
1008,Cookies
1009,Ice Cream
1009,Ice Cream Cones
